tconst,ordering,nconst,category,job,characters
tt11929148,19,nm0006795,producer,producer,\N
tt11929250,1,nm0451321,self,\N,"[""Self - Host""]"
tt11935102,1,nm0451321,self,\N,"[""Self - Host""]"
tt11935740,20,nm0006795,producer,producer,\N
tt11941182,3,nm0451321,self,\N,"[""Self - Winner""]"
tt11941196,2,nm0451321,self,\N,"[""Self - Host""]"
tt11967006,1,nm0451321,self,\N,"[""Self - Host & Winner""]"
tt11973002,3,nm0451321,self,\N,"[""Self - Winner""]"
tt11974500,5,nm0451321,self,\N,"[""Self - Winner""]"
tt11975046,20,nm0006795,producer,producer,\N
tt11975048,20,nm0006795,producer,producer,\N
tt11981890,7,nm0451321,self,\N,"[""Self - Interviewee""]"
tt12008854,17,nm0006795,producer,producer,\N
tt12018980,19,nm0006795,producer,producer,\N
tt12256398,6,nm11588799,self,\N,"[""Self""]"
tt12264058,17,nm0451321,producer,producer,\N
tt12265004,17,nm0451321,producer,producer,\N
tt12265042,17,nm0451321,producer,producer,\N
tt12454622,17,nm6322549,producer,producer,\N
tt1249053,1,nm0451321,self,\N,"[""Self - Host""]"
tt12627704,1,nm0451321,self,\N,"[""Self""]"
tt1265433,1,nm0451321,self,\N,"[""Self - Host""]"
tt12695806,1,nm11732284,archive_footage,\N,"[""Featuring""]"
tt12719682,14,nm0006795,producer,producer,\N
tt12774720,2,nm0006795,self,\N,"[""Self""]"
tt12774722,2,nm0451321,self,\N,"[""Self""]"
tt12774724,2,nm0451321,self,\N,"[""Self""]"
tt12798778,1,nm0451321,self,\N,"[""Self - Host""]"
tt1281973,1,nm0006795,self,\N,"[""Self - Host""]"
tt1281973,2,nm0006795,self,\N,"[""Host""]"
tt1281973,3,nm0006795,self,\N,"[""Self""]"
tt12844910,1,nm0451321,actor,\N,"[""Pathaan""]"
tt1285241,1,nm0451321,actor,\N,"[""Don""]"
tt1285241,17,nm0451321,producer,producer,\N
tt12922452,13,nm0006795,producer,producer,\N
tt12922498,13,nm0006795,producer,producer,\N
tt12922544,16,nm0006795,producer,producer,\N
tt12922836,17,nm0006795,producer,producer,\N
tt12922896,14,nm0006795,producer,producer,\N
tt12939018,13,nm0006795,producer,producer,\N
tt12939024,17,nm0006795,producer,producer,\N
tt12999874,16,nm0006795,producer,producer,\N
tt12999972,17,nm0006795,producer,producer,\N
tt13040144,7,nm0451321,self,\N,"[""Self - KKR Owner""]"
tt13040220,6,nm0451321,self,\N,"[""Self - KKR Owner""]"
tt13045898,15,nm0006795,producer,producer,\N
tt13045916,17,nm0006795,producer,producer,\N
tt13054906,5,nm0451321,self,\N,"[""Self - KKR Owner""]"
tt13080756,13,nm0006795,producer,producer,\N
tt13081364,14,nm0006795,producer,producer,\N
tt13097686,1,nm0006795,actor,\N,\N
tt13124970,17,nm0006795,producer,producer,\N
tt13130308,4,nm0006795,actor,\N,"[""Masoom Bhai""]"
tt13138294,15,nm0006795,producer,producer,\N
tt13168608,18,nm0006795,producer,producer,\N
tt13168720,2,nm11930574,actor,\N,"[""Faisal""]"
tt13170566,17,nm0006795,producer,producer,\N
tt13183762,2,nm11930574,actor,\N,"[""Faisal""]"
tt13183918,2,nm11930574,actor,\N,"[""Faisal""]"
tt13184180,2,nm11930574,actor,\N,"[""Faisal""]"
tt13211914,1,nm0006795,self,\N,"[""Self - Host""]"
tt13224752,4,nm11967540,actor,\N,"[""Rajesh""]"
tt13228132,19,nm0006795,producer,producer,\N
tt13228332,16,nm0006795,producer,producer,\N
tt13255952,16,nm0006795,producer,producer,\N
tt13255962,18,nm0006795,producer,producer,\N
tt13304366,19,nm0006795,producer,producer,\N
tt13304378,16,nm0006795,producer,producer,\N
tt13316242,3,nm0451321,self,\N,"[""Self""]"
tt13340594,16,nm0006795,producer,producer,\N
tt13344420,17,nm0006795,producer,producer,\N
tt13346520,6,nm0006795,self,\N,"[""Self - Host""]"
tt13394560,18,nm0006795,producer,producer,\N
tt13394566,16,nm0006795,producer,producer,\N
tt13429652,19,nm0006795,producer,producer,\N
tt13429684,19,nm0006795,producer,producer,\N
tt13474028,19,nm0006795,producer,producer,\N
tt13474174,16,nm0006795,producer,producer,\N
tt13491110,1,nm0006795,actor,\N,"[""Rajveer Singh""]"
tt13510096,19,nm0006795,producer,producer,\N
tt13550526,16,nm0006795,producer,producer,\N
tt13550658,17,nm0006795,producer,producer,\N
tt13550698,1,nm12104009,director,\N,\N
tt13551618,2,nm0006795,actor,\N,"[""Hero""]"
tt13551618,6,nm12104009,director,\N,\N
tt13551618,7,nm12107034,director,\N,\N
tt13551618,8,nm12110086,director,\N,\N
tt13556794,17,nm0006795,producer,producer,\N
tt13597912,18,nm0006795,producer,producer,\N
tt13597936,14,nm0006795,producer,producer,\N
tt13634050,16,nm0006795,producer,producer,\N
tt13638534,18,nm0006795,producer,producer,\N
tt13644954,6,nm0451321,self,\N,"[""Self""]"
tt1365038,3,nm0451321,self,\N,"[""Self""]"
tt13678808,15,nm0006795,producer,producer,\N
tt13680676,17,nm0006795,producer,producer,\N
tt13714628,19,nm0006795,producer,producer,\N
tt13732344,19,nm0006795,producer,producer,\N
tt13758280,6,nm0451321,self,\N,"[""Self""]"
tt13766038,9,nm0451321,self,\N,"[""Self""]"
tt13766102,1,nm0451321,self,\N,"[""Self""]"
tt13782010,1,nm0006795,actor,\N,"[""Captain Jeet Sharma""]"
tt13785306,19,nm0006795,producer,producer,\N
tt13785362,20,nm0006795,producer,producer,\N
tt13787728,9,nm0006795,self,\N,"[""Self""]"
tt13787770,8,nm0006795,self,\N,"[""Self""]"
tt13818494,19,nm0006795,producer,producer,\N
tt13818496,17,nm0006795,producer,producer,\N
tt13855868,4,nm0006795,actor,\N,"[""Narrator""]"
tt13872650,20,nm0006795,producer,producer,\N
tt13872652,20,nm0006795,producer,producer,\N
tt13903082,20,nm0006795,producer,producer,\N
tt13915804,20,nm0006795,producer,producer,\N
tt13954876,20,nm0006795,producer,producer,\N
tt1400340,10,nm0006795,self,\N,"[""Self""]"
tt14102996,9,nm0006795,self,\N,"[""Self - Host""]"
tt14103034,6,nm0006795,self,\N,"[""Self - Host""]"
tt14103044,6,nm0006795,self,\N,"[""Self - Host""]"
tt1410498,10,nm0006795,self,\N,"[""Self""]"
tt14180554,2,nm0451321,self,\N,"[""Self - Guest""]"
tt14256102,5,nm12496236,self,\N,"[""Self""]"
tt14256126,5,nm12496236,self,\N,"[""Self""]"
tt14260632,5,nm12496236,self,\N,"[""Self""]"
tt14296646,9,nm0006795,self,\N,"[""Self""]"
tt1442411,1,nm0006795,self,\N,"[""Self - Host (2008-)""]"
tt14579888,2,nm0451321,actor,\N,\N
tt14624782,1,nm0006795,self,\N,"[""Self - Host""]"
tt14625344,7,nm0006795,self,\N,"[""Self - Host""]"
tt14629476,3,nm0006795,self,\N,"[""Self - Host""]"
tt14629492,6,nm0006795,self,\N,"[""Self - Host""]"
tt14630858,4,nm0006795,self,\N,"[""Self - Host""]"
tt14635610,3,nm0006795,self,\N,"[""Self - Host""]"
tt14635624,4,nm0006795,self,\N,"[""Self - Host""]"
tt14637098,7,nm0006795,self,\N,"[""Self - Host""]"
tt14637168,4,nm0006795,self,\N,"[""Self - Host""]"
tt14641314,5,nm0006795,self,\N,"[""Self - Host""]"
tt14641712,3,nm0006795,self,\N,"[""Self - Host""]"
tt14641734,4,nm0006795,self,\N,"[""Self - Host""]"
tt14651364,6,nm0006795,self,\N,"[""Self - Host""]"
tt14654830,1,nm0451321,self,\N,"[""Self - Host""]"
tt14690274,1,nm0006795,self,\N,"[""Self - Host""]"
tt14690876,5,nm0006795,self,\N,"[""Self - Host""]"
tt14728262,3,nm0006795,self,\N,"[""Self - Host""]"
tt14728296,1,nm0006795,self,\N,"[""Self - Host""]"
tt14743162,3,nm0006795,self,\N,"[""Self - Host""]"
tt14743176,2,nm0006795,self,\N,"[""Self - Host""]"
tt14743338,1,nm0006795,self,\N,"[""Self - Host""]"
tt14747948,7,nm0006795,self,\N,"[""Self - Host""]"
tt14747954,6,nm0006795,self,\N,"[""Self - Host""]"
tt14748054,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748056,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748076,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748162,2,nm0006795,self,\N,"[""Self - Host""]"
tt14748164,2,nm0006795,self,\N,"[""Self - Host""]"
tt14748180,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748182,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748238,5,nm0006795,self,\N,"[""Self - Host""]"
tt14748244,4,nm0006795,self,\N,"[""Self - Host""]"
tt14748290,6,nm0006795,self,\N,"[""Self - Host""]"
tt1475415,9,nm0451321,self,\N,"[""Self""]"
tt14772650,4,nm0006795,self,\N,"[""Self - Host""]"
tt14772668,5,nm0006795,self,\N,"[""Self - Host""]"
tt14772678,4,nm0006795,self,\N,"[""Self - Host""]"
tt14772680,4,nm0006795,self,\N,"[""Self - Host""]"
tt14772700,5,nm0006795,self,\N,"[""Self - Host""]"
tt14866598,3,nm0006795,self,\N,"[""Self""]"
tt14872236,4,nm0006795,self,\N,"[""Self - Host""]"
tt14872250,3,nm0006795,self,\N,"[""Self - Host""]"
tt14872258,4,nm0006795,self,\N,"[""Self - Host""]"
tt14872274,3,nm0006795,self,\N,"[""Self - Host""]"
tt14872278,4,nm0006795,self,\N,"[""Self - Host""]"
tt14873282,3,nm0006795,self,\N,"[""Self - Host""]"
tt14873282,4,nm0451321,self,\N,"[""Self""]"
tt14873286,2,nm0006795,self,\N,"[""Self - Host""]"
tt14873286,3,nm0451321,self,\N,"[""Self""]"
tt14880952,4,nm0006795,self,\N,"[""Self - Host""]"
tt14880986,1,nm0006795,self,\N,"[""Self - Host""]"
tt14880986,2,nm0451321,self,\N,"[""Self""]"
tt14880990,1,nm0006795,self,\N,"[""Self - Host""]"
tt14880990,2,nm0451321,self,\N,"[""Self""]"
tt14893850,9,nm0006795,archive_footage,\N,"[""Self""]"
tt14922718,2,nm0006795,self,\N,"[""Self - Host""]"
tt15023430,6,nm12747762,editor,\N,\N
tt15113726,3,nm0006795,self,\N,"[""Self""]"
tt15114516,4,nm11810064,actor,\N,\N
tt15145798,1,nm0006795,self,\N,"[""Self - Host""]"
tt15163318,1,nm0006795,archive_footage,\N,\N
tt15198426,18,nm0006795,producer,producer,\N
tt15282146,18,nm0006795,producer,producer,\N
tt15327276,14,nm0006795,producer,producer,\N
tt15327278,19,nm0006795,producer,producer,\N
tt15354916,1,nm0451321,actor,\N,"[""Vikram Rathore""]"
tt15354916,2,nm0451321,actor,\N,"[""Azad""]"
tt15378000,18,nm0006795,producer,producer,\N
tt15378002,16,nm0006795,producer,producer,\N
tt15540858,6,nm0006795,self,\N,"[""Self - Host""]"
tt15548000,7,nm12995499,actor,\N,\N
tt1562871,1,nm0451321,actor,\N,"[""Shekhar Subramanium""]"
tt1562871,2,nm0451321,actor,\N,"[""G.One""]"
tt1562871,16,nm0451321,writer,screenplay,\N
tt15629028,2,nm0006795,self,\N,"[""Self - Host""]"
tt15629348,1,nm0006795,self,\N,"[""Self - Host""]"
tt15669496,2,nm0006795,self,\N,"[""Self""]"
tt15671698,17,nm0006795,producer,producer,\N
tt15706948,18,nm0006795,producer,producer,\N
tt15706954,19,nm0006795,producer,producer,\N
tt15739028,2,nm0006795,actor,\N,"[""Narrator""]"
tt15739032,2,nm0006795,actor,\N,"[""Narrator""]"
tt15739036,2,nm0006795,actor,\N,"[""Narrator""]"
tt15739042,2,nm0006795,actor,\N,"[""Narrator""]"
tt15761494,17,nm0006795,producer,producer,\N
tt15761560,19,nm0006795,producer,producer,\N
tt15763680,2,nm0006795,self,\N,"[""Self - Host""]"
tt15808180,16,nm0006795,producer,producer,\N
tt15845286,19,nm0006795,producer,producer,\N
tt15869330,17,nm0006795,producer,producer,\N
tt15869378,16,nm0006795,producer,producer,\N
tt15944438,1,nm0006795,actor,\N,\N
tt15944438,5,nm0006795,producer,producer,\N
tt1596635,7,nm0451321,self,\N,"[""Self""]"
tt16043738,2,nm0451321,self,\N,"[""Self""]"
tt16091712,18,nm0006795,producer,producer,\N
tt16091714,19,nm0006795,producer,producer,\N
tt16194442,16,nm0006795,producer,producer,\N
tt16194458,6,nm0006795,self,\N,"[""Self""]"
tt16194458,18,nm0006795,producer,producer,\N
tt1620719,1,nm0006795,actor,\N,"[""Inspector Chulbul Pandey""]"
tt16211558,1,nm0451321,actor,\N,\N
tt16266568,16,nm0006795,producer,producer,\N
tt16266570,16,nm0006795,producer,producer,\N
tt16317704,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317706,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317710,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317712,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317714,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317716,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317718,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317720,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317722,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317726,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317728,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317730,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317732,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317734,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317736,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317738,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317740,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317742,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317744,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317746,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317750,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317752,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317756,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317758,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317760,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317762,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317764,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317766,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317770,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317772,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317774,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317776,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317780,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317782,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317784,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317786,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317788,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317790,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317792,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317794,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317796,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317798,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317800,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317802,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317804,2,nm0006795,actor,\N,"[""Narrator""]"
tt16317806,4,nm0006795,actor,\N,"[""Narrator""]"
tt16319044,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319046,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319050,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319054,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319056,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319058,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319062,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319064,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319072,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319074,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319076,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319080,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319084,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319086,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319092,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319098,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319100,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319102,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319104,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319106,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319108,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319110,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319116,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319118,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319120,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319122,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319124,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319126,3,nm0006795,actor,\N,"[""Narrator""]"
tt16319128,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319130,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319132,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319134,4,nm0006795,actor,\N,"[""Narrator""]"
tt16319136,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319138,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319140,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319142,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319144,2,nm0006795,actor,\N,"[""Narrator""]"
tt16319146,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343434,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343438,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343440,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343442,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343444,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343446,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343448,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343450,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343452,3,nm0006795,actor,\N,"[""Narrator""]"
tt16343454,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343456,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343460,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343462,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343464,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343466,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343468,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343470,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343472,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343474,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343476,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343478,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343480,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343482,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343486,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343488,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343490,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343492,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343494,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343496,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343498,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343502,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343504,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343506,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343508,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343516,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343518,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343520,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343524,2,nm0006795,actor,\N,"[""Narrator""]"
tt16343526,2,nm0006795,actor,\N,"[""Narrator""]"
tt1634529,1,nm0451321,self,\N,"[""Self - Host""]"
tt16377116,2,nm0006795,self,\N,"[""Self - Host""]"
tt16410530,16,nm0006795,producer,producer,\N
tt16410534,19,nm0006795,producer,producer,\N
tt16410538,19,nm0006795,producer,producer,\N
tt16410550,17,nm0006795,producer,producer,\N
tt16428414,3,nm0006795,self,\N,"[""Self - Host""]"
tt16444402,18,nm0006795,producer,producer,\N
tt16444404,19,nm0006795,producer,producer,\N
tt1646331,8,nm0006795,actor,\N,"[""Salman Khan""]"
tt16612480,2,nm0006795,self,\N,"[""Self - Host""]"
tt16612534,1,nm0006795,self,\N,"[""Self - Host""]"
tt16673636,17,nm0006795,producer,producer,\N
tt16673638,19,nm0006795,producer,producer,\N
tt1674385,8,nm0006795,self,\N,"[""Self""]"
tt16897306,16,nm0006795,producer,producer,\N
tt16897322,17,nm0006795,producer,producer,\N
tt16915434,3,nm0451321,self,\N,"[""Self - Host""]"
tt16915438,7,nm0451321,self,\N,"[""Self - Performer""]"
tt16915456,6,nm0006795,self,\N,"[""Self - Performer""]"
tt16915456,7,nm0451321,self,\N,"[""Self""]"
tt16975548,1,nm0006795,self,\N,"[""Self - Host""]"
tt17066284,20,nm0006795,producer,producer,\N
tt17066286,18,nm0006795,producer,producer,\N
tt17066288,17,nm0006795,producer,producer,\N
tt1708532,1,nm0006795,actor,\N,"[""Prem R. Kapoor""]"
tt1729637,1,nm0006795,actor,\N,"[""Lovely B. Singh""]"
tt17323888,17,nm0006795,producer,producer,\N
tt17323890,17,nm0006795,producer,producer,\N
tt17323892,19,nm0006795,producer,producer,\N
tt17323894,19,nm0006795,producer,producer,\N
tt1737296,1,nm0006795,self,\N,"[""Self - Host""]"
tt17515566,1,nm0006795,self,\N,"[""Self - Host""]"
tt1773042,9,nm0451321,self,\N,"[""Self""]"
tt18036266,19,nm0006795,producer,producer,\N
tt18038548,19,nm0006795,producer,producer,\N
tt18232620,18,nm0006795,producer,producer,\N
tt18232632,19,nm0006795,producer,producer,\N
tt18280216,9,nm0451321,archive_footage,\N,"[""Self""]"
tt18285436,18,nm0006795,producer,producer,\N
tt18285438,19,nm0006795,producer,producer,\N
tt18340848,19,nm0006795,producer,producer,\N
tt18340872,17,nm0006795,producer,producer,\N
tt18411490,1,nm0006795,actor,\N,"[""Tiger (Avinash Rathod)""]"
tt1841542,20,nm0006795,producer,producer,\N
tt18553272,16,nm0006795,producer,producer,\N
tt18553292,19,nm0006795,producer,producer,\N
tt18766766,1,nm0006795,actor,\N,"[""Salman khan""]"
tt18922168,17,nm0006795,producer,producer,\N
tt18922172,18,nm0006795,producer,producer,\N
tt18938504,17,nm0006795,producer,producer,\N
tt18938510,17,nm0006795,producer,producer,\N
tt19249340,15,nm0006795,producer,producer,\N
tt19249342,16,nm0006795,producer,producer,\N
tt19488542,7,nm0006795,producer,producer,\N
tt19488552,7,nm0006795,producer,producer,\N
tt19488574,18,nm0006795,producer,producer,\N
tt19488588,7,nm0006795,producer,producer,\N
tt1955477,8,nm0451321,archive_footage,\N,"[""Self""]"
tt19720580,15,nm0006795,producer,producer,\N
tt19812988,18,nm0006795,producer,producer,\N
tt19816486,18,nm0006795,producer,producer,\N
tt1986040,5,nm0006795,actor,\N,"[""Salman Khan""]"
tt19896618,16,nm0006795,producer,producer,\N
tt19896620,18,nm0006795,producer,producer,\N
tt20158774,18,nm0006795,producer,producer,\N
tt20158792,14,nm0006795,producer,producer,\N
tt2016894,1,nm0006795,actor,\N,"[""Tiger""]"
tt20251434,18,nm0006795,producer,producer,\N
tt20251436,18,nm0006795,producer,producer,\N
tt20448270,16,nm0006795,producer,producer,\N
tt20448272,16,nm0006795,producer,producer,\N
tt2078858,1,nm0006795,self,\N,"[""Self - Host""]"
tt20860984,17,nm0006795,producer,producer,\N
tt20860986,15,nm0006795,producer,producer,\N
tt20860988,12,nm0006795,producer,producer,\N
tt2112124,2,nm0451321,actor,\N,"[""Rahul Mithaiwala""]"
tt2112131,1,nm0006795,actor,\N,"[""Chulbul Pandey""]"
tt21211732,1,nm0006795,self,\N,"[""Self - Host""]"
tt21445214,2,nm0006795,actor,\N,"[""Tiger""]"
tt2164240,5,nm0451321,self,\N,"[""Self - KKR Owner""]"
tt2171548,3,nm0451321,self,\N,"[""Self - Best Actor""]"
tt2176013,1,nm0451321,actor,\N,"[""Samar Anand""]"
tt21944452,17,nm0006795,producer,producer,\N
tt22071974,17,nm0006795,producer,producer,\N
tt22094022,17,nm0006795,producer,producer,\N
tt22094100,1,nm0006795,self,\N,"[""Self - Host""]"
tt22259124,17,nm0006795,producer,producer,\N
tt22260838,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260840,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260842,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260846,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260848,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260854,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260858,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260862,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260866,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260868,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260870,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260872,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260874,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260876,2,nm0006795,actor,\N,"[""Narrator""]"
tt22260878,2,nm0006795,actor,\N,"[""Narrator""]"
